ars,name,designation,postal_code,district,state,lat,lng,population
034595401028,Nortrup,,49638,Osnabrück,Niedersachsen,52.614148,7.85948,2927
146270180180,Nossen,Stadt,01683,Meißen,Sachsen,51.058625,13.299465,10486
130715151112,Nossendorf,,17111,Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,53.961796,12.956329,629
130715154113,Nossentiner Hütte,,17214,Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,53.535058,12.424283,585
130765652106,Nostorf,,19258,Ludwigslust-Parchim,Mecklenburg-Vorpommern,53.406837,10.653967,583
073405001034,Nothweiler,,76891,Südwestpfalz,Rheinland-Pfalz,49.068736,7.79919,129
033595405034,Nottensdorf,,21640,Stade,Niedersachsen,53.485714,9.601616,1619
160645055077,Nottertal-Heilinger Höhen,Stadt,99994,Unstrut-Hainich-Kreis,Thüringen,51.246183,10.65856,5750
010595974065,Nottfeld,,24392,Schleswig-Flensburg,Schleswig-Holstein,54.618666,9.768634,123
160675007052,Nottleben,,99192,Gotha,Thüringen,50.965687,10.844599,425
055580032032,Nottuln,,48301,Coesfeld,Nordrhein-Westfalen,51.928018,7.352893,20205
081165001048,Notzingen,,73274,Esslingen,Baden-Württemberg,48.671109,9.462005,3684
081155003037,Nufringen,,71154,Böblingen,Baden-Württemberg,48.622489,8.888193,5806
072325005095,Nusbaum,,54675,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,49.914649,6.346602,433
084175005045,Nusplingen,,72362,Zollernalbkreis,Baden-Württemberg,48.132002,8.890352,1910
073365008069,Nußbach,,67759,Kusel,Rheinland-Pfalz,49.629137,7.695774,554
071335010072,Nußbaum,,55569,Bad Kreuznach,Rheinland-Pfalz,49.800064,7.61402,474
091890130130,Nußdorf,,83365,Traunstein,Bayern,47.905326,12.59593,2340
091870156156,Nußdorf a.Inn,,83131,Rosenheim,Bayern,47.742574,12.156562,2562
010535391096,Nusse,,23896,Herzogtum Lauenburg,Schleswig-Holstein,53.65908,10.575979,1153
082260060060,Nußloch,,69226,Rhein-Neckar-Kreis,Baden-Württemberg,49.322794,8.69587,11418
130725262076,Nustrow,,18195,Landkreis Rostock,Mecklenburg-Vorpommern,54.015663,12.596573,174
120720312312,Nuthe-Urstromtal,,14947,Teltow-Fläming,Brandenburg,52.128067,13.16802,6325
120690454454,Nuthetal,,14558,Potsdam-Mittelmark,Brandenburg,52.349935,13.104062,9376
010615168078,Nutteln,,25594,Steinburg,Schleswig-Holstein,53.990288,9.388823,257
160685012037,Nöda,,99195,Sömmerda,Thüringen,51.069675,11.018247,789
097790194194,Nördlingen,GKSt,86720,Donau-Ries,Bayern,48.85157,10.489272,20352
031550010010,Nörten-Hardenberg,Flecken,37176,Northeim,Niedersachsen,51.625491,9.935241,7719
071375009219,Nörtershausen,,56283,Mayen-Koblenz,Rheinland-Pfalz,50.225001,7.480618,1152
053580052052,Nörvenich,,52388,Düren,Nordrhein-Westfalen,50.807107,6.644576,12131
010585833118,Nübbel,,24809,Rendsburg-Eckernförde,Schleswig-Holstein,54.271939,9.622061,1542
010595987098,Nübel,,24881,Schleswig-Flensburg,Schleswig-Holstein,54.563867,9.583971,1251
096720136136,Nüdlingen,,97720,Bad Kissingen,Bayern,50.22115,10.123789,3861
053740032032,Nümbrecht,,51588,Oberbergischer Kreis,Nordrhein-Westfalen,50.902351,7.540904,17580
146275225190,Nünchritz,,01612,Meißen,Sachsen,51.300936,13.383303,5339
073405009035,Nünschweiler,,66989,Südwestpfalz,Rheinland-Pfalz,49.223401,7.503186,752
071315001058,Nürburg,,53520,Ahrweiler,Rheinland-Pfalz,50.342813,6.952404,188
095640000000,Nürnberg,,90403,Nürnberg,Bayern,49.450938,11.075269,529508
081165005049,Nürtingen,Stadt,72622,Esslingen,Baden-Württemberg,48.625847,9.343281,40773
066310019019,Nüsttal,,36167,Fulda,Hessen,50.637007,9.845847,2850
010605043064,Nützen,,24568,Segeberg,Schleswig-Holstein,53.864679,9.91977,1255
071405004111,Ober Kostenz,,55481,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,49.956356,7.351403,256
073315001052,Ober-Flörsheim,,55234,Alzey-Worms,Rheinland-Pfalz,49.683754,8.155056,1348
073395003046,Ober-Hilbersheim,,55437,Mainz-Bingen,Rheinland-Pfalz,49.899138,8.02967,977
064400018018,Ober-Mörlen,,61239,Wetteraukreis,Hessen,50.373047,8.694519,5706
073395006047,Ober-Olm,,55270,Mainz-Bingen,Rheinland-Pfalz,49.938606,8.193338,4497
064320016016,Ober-Ramstadt,Stadt,64372,Darmstadt-Dieburg,Hessen,49.831768,8.7395,15078
071435008281,Oberahr,,56414,Westerwaldkreis,Rheinland-Pfalz,50.503102,7.866713,553
073365010070,Oberalben,,66871,Kusel,Rheinland-Pfalz,49.579012,7.400133,209
091800125125,Oberammergau,,82487,Garmisch-Partenkirchen,Bayern,47.597074,11.06642,5132
073355011031,Oberarnbach,,66851,Kaiserslautern,Rheinland-Pfalz,49.385184,7.587841,439
095730122122,Oberasbach,St,90522,Fürth,Bayern,49.422443,10.958495,17647
091800126126,Oberau,,82496,Garmisch-Partenkirchen,Bayern,47.562606,11.138308,3132
091870157157,Oberaudorf,,83080,Rosenheim,Bayern,47.648794,12.171952,5095
